sale_id,product_id,customer_id,location_id,order_date,quantity,unit_price,total_amount,discount_applied,payment_method,delivery_status
SALE00001,B0B2C5MJN6,CUST0023,LOC019,1/1/2023,4,32990,105568,20,NetBanking,Delivered
SALE00002,B07KKJPTWB,CUST0019,LOC018,1/1/2023,5,1599,6396,20,COD,Delivered
SALE00003,B08Y1SJVV5,CUST0063,LOC006,1/1/2023,2,99,188.1,5,NetBanking,Delivered
SALE00004,B0162K34H2,CUST0436,LOC004,1/1/2023,4,849,2716.8,20,NetBanking,Delivered
SALE00005,B09BW334ML,CUST0384,LOC009,1/2/2023,1,349,314.1,10,NetBanking,Returned
SALE00006,B09ZDVL7L8,CUST0136,LOC003,1/2/2023,4,2199,8796,0,COD,Returned
SALE00007,B09FFK1PQG,CUST0342,LOC009,1/2/2023,1,873,785.7,10,Card,Delivered
SALE00008,B07GLSKXS1,CUST0291,LOC015,1/3/2023,1,1199,1139.05,5,NetBanking,Delivered
SALE00009,B07KSB1MLX,CUST0166,LOC003,1/3/2023,2,1089,1960.2,10,COD,Delivered
SALE00010,B08VGDBF3B,CUST0343,LOC005,1/3/2023,2,395,671.5,15,COD,Delivered
SALE00011,B09P8M18QM,CUST0046,LOC001,1/4/2023,4,1369,5476,0,NetBanking,Returned
SALE00012,B08498H13H,CUST0267,LOC005,1/4/2023,5,1519,6455.75,15,COD,Delivered
SALE00013,B08Y1TFSP6,CUST0235,LOC012,1/4/2023,3,149,402.3,10,NetBanking,Delivered
SALE00014,B09LJ116B5,CUST0119,LOC020,1/5/2023,4,16999,61196.4,10,UPI,Delivered
SALE00015,B0BM9H2NY9,CUST0284,LOC002,1/5/2023,3,699,2097,0,UPI,Delivered
SALE00016,B09YLFHFDW,CUST0023,LOC020,1/5/2023,5,1599,7995,0,COD,Delivered
SALE00017,B0B9BXKBC7,CUST0066,LOC017,1/6/2023,3,1799,4587.45,15,NetBanking,Delivered
SALE00018,B0B56YRBNT,CUST0009,LOC018,1/6/2023,1,8999,7649.15,15,NetBanking,Pending
SALE00019,B09QS9CWLV,CUST0380,LOC007,1/6/2023,5,12999,55245.75,15,COD,Delivered
SALE00020,B099Z83VRC,CUST0481,LOC018,1/6/2023,4,1052,3997.6,5,COD,Delivered
SALE00021,B09W5XR9RT,CUST0026,LOC003,1/7/2023,4,970,3298,15,COD,Delivered
SALE00022,B07VVXJ2P5,CUST0107,LOC011,1/7/2023,1,96,76.8,20,Card,Delivered
SALE00023,B09M8888DM,CUST0302,LOC017,1/7/2023,2,499,848.3,15,NetBanking,Delivered
SALE00024,B08Y55LPBF,CUST0453,LOC008,1/8/2023,1,32999,31349.05,5,NetBanking,Returned
SALE00025,B08WRWPM22,CUST0123,LOC007,1/8/2023,4,176.63,565.22,20,Card,Delivered
SALE00026,B0B5RP43VN,CUST0277,LOC009,1/8/2023,2,1474,2505.8,15,UPI,Delivered
SALE00027,B08MTCKDYN,CUST0042,LOC005,1/9/2023,2,119,226.1,5,COD,Returned
SALE00028,B082LSVT4B,CUST0182,LOC012,1/9/2023,5,249,1245,0,NetBanking,Returned
SALE00029,B01KK0HU3Y,CUST0291,LOC015,1/9/2023,3,899,2292.45,15,UPI,Delivered
SALE00030,B07ZJND9B9,CUST0314,LOC001,1/10/2023,4,1099,3736.6,15,UPI,Delivered
SALE00031,B09H34V36W,CUST0308,LOC013,1/10/2023,2,1349,2563.1,5,UPI,Delivered
SALE00032,B08TT63N58,CUST0214,LOC010,1/10/2023,5,499,2245.5,10,NetBanking,Delivered
SALE00033,B074CWD7MS,CUST0263,LOC007,1/11/2023,2,1549,3098,0,NetBanking,Delivered
SALE00034,B0BPCJM7TB,CUST0034,LOC016,1/11/2023,5,259,1295,0,COD,Delivered
SALE00035,B08BG4M4N7,CUST0435,LOC015,1/11/2023,2,199,398,0,Card,Delivered
SALE00036,B09Q8WQ5QJ,CUST0181,LOC006,1/12/2023,5,249,1120.5,10,COD,Returned
SALE00037,B00O2R38C4,CUST0355,LOC019,1/12/2023,2,999,1898.1,5,NetBanking,Delivered
SALE00038,B0B3RRWSF6,CUST0044,LOC005,1/12/2023,4,1998,7192.8,10,Card,Returned
SALE00039,B08YDFX7Y1,CUST0340,LOC020,1/12/2023,3,299,717.6,20,UPI,Pending
SALE00040,B08XXVXP3J,CUST0454,LOC006,1/13/2023,1,249,249,0,NetBanking,Returned
SALE00041,B07K19NYZ8,CUST0239,LOC009,1/13/2023,2,2320,3712,20,UPI,Delivered
SALE00042,B09VT6JKRP,CUST0215,LOC002,1/13/2023,2,199,318.4,20,UPI,Delivered
SALE00043,B0BMGB2TPR,CUST0409,LOC010,1/14/2023,3,9499,24222.45,15,COD,Delivered
SALE00044,B094G9L9LT,CUST0062,LOC006,1/14/2023,3,999,2997,0,NetBanking,Delivered
SALE00045,B07NRTCDS5,CUST0004,LOC016,1/14/2023,1,1199,1139.05,5,COD,Delivered
SALE00046,B08CGW4GYR,CUST0190,LOC002,1/15/2023,5,375,1593.75,15,NetBanking,Returned
